,number,value,datetime_start,datetime_complete,duration,params_alpha_bayesian_ridge,params_alpha_elastic_net,params_alpha_gamma_regressor,params_alpha_gaussian_process_regressor,params_alpha_lasso,params_alpha_poisson_regressor,params_alpha_quantile_regressor,params_alpha_ridge_model,params_alpha_tweedie_regressor,params_bootstrap_extra_trees_regressor,params_criterion_extra_trees_regressor,params_estimator_1,params_estimator_2,params_estimator_3,params_estimator_4,params_final_estimator,params_l1_ratio_elastic_net,params_lambda_1_bayesian_ridge,params_lambda_2_bayesian_ridge,params_max_features_extra_trees_regressor,params_n_components,params_n_estimators_extra_trees_regressor,params_power_tweedie_regressor,params_quantile,params_quantile_range,params_scale,params_standardization_type,params_standardizer,params_with_centering,params_with_scaling,state
46,46,inf,2024-04-23 07:24:57.173505,2024-04-23 10:24:58.167426,0 days 03:00:00.993921,,2.360996119830338,,,,,0.3752396948815532,,,False,friedman_mse,quantile_regressor_model,extra_trees_regressor_model,linear_regression_model,elastic_net_model,extra_trees_regressor_model,0.006563931141492785,,,auto,,300.0,,0.34285128595400066,"(10.0, 90.0)",,,basic_standardizer,True,False,COMPLETE
47,47,inf,2024-04-23 10:24:58.186669,2024-04-23 10:25:10.580187,0 days 00:00:12.393518,,6.57434533488247,,0.43298836357922815,,,0.9854970448608111,,,,,gaussian_process_regressor_model,decision_tree_regressor_model,elastic_net_model,gaussian_process_regressor_model,quantile_regressor_model,0.7280343556008368,,,,,,,0.2912535321189084,"(5.0, 95.0)",,,chembl_standardizer,True,True,COMPLETE
48,48,inf,2024-04-23 10:25:10.600803,2024-04-23 10:25:22.530015,0 days 00:00:11.929212,,,,,,0.3915195064928916,0.5484748975714431,,1.0052574468962538,False,friedman_mse,tweedie_regressor_model,extra_trees_regressor_model,poisson_regressor_model,quantile_regressor_model,linear_regression_model,,,,auto,,500.0,0.9558277482109369,0.21089098736058554,"(5.0, 95.0)",,,basic_standardizer,True,True,COMPLETE
49,49,inf,2024-04-23 10:25:22.554867,2024-04-23 10:25:30.318192,0 days 00:00:07.763325,,3.74127231965429,0.12348114600310622,,9.916687166677292,,,,1.6866359969704638,,,elastic_net_model,gamma_regressor_model,pls_regression_model,tweedie_regressor_model,lasso_model,0.44331953024954374,,,,5.0,,0.6346618338858584,,"(5.0, 95.0)",False,,pass_through_standardizer,True,True,COMPLETE
50,50,inf,2024-04-23 10:25:30.350671,2024-04-23 13:25:30.841039,0 days 03:00:00.490368,4.261774185029873,,,,3.487358054678288,,0.1800093086482601,,0.2839574716165738,False,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,lasso_model,quantile_regressor_model,tweedie_regressor_model,,2.0436475373701652,9.098886912899985,auto,,300.0,0.8415173148652818,0.1625139625059131,"(10.0, 90.0)",,,basic_standardizer,True,False,COMPLETE
51,51,inf,2024-04-23 13:25:30.862283,2024-04-23 16:26:50.900200,0 days 03:01:20.037917,5.893487710145332,,,,,,0.33930972616250055,,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,3.860292095051021,8.66761313509837,auto,5.0,400.0,,0.37746190201020013,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
52,52,0.5776172430769457,2024-04-23 16:26:50.938650,2024-04-23 16:43:03.322680,0 days 00:16:12.384030,6.3456757663326275,,,,,,,,,True,friedman_mse,bayesian_ridge_model,extra_trees_regressor_model,pls_regression_model,linear_regression_model,linear_regression_model,,3.7741959878806237,7.79256702105293,auto,3.0,400.0,,,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
53,53,0.6651790512014364,2024-04-23 16:43:03.349043,2024-04-23 19:34:31.574158,0 days 02:51:28.225115,5.374988894877645,,,0.7481851776925247,,,0.32657321256820215,,,,,bayesian_ridge_model,gaussian_process_regressor_model,pls_regression_model,quantile_regressor_model,linear_regression_model,,4.645733628168008,5.956663636202883,,5.0,,,0.3133948183333737,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
54,54,inf,2024-04-23 19:34:31.596072,2024-04-23 19:35:10.595897,0 days 00:00:38.999825,,,1.5968755086601645,,,,,3.5322064821985144,,True,friedman_mse,ridge_model,extra_trees_regressor_model,pls_regression_model,gamma_regressor_model,gamma_regressor_model,,,,auto,4.0,500.0,,,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
55,55,inf,2024-04-23 19:35:10.644362,2024-04-23 19:35:22.558899,0 days 00:00:11.914537,,1.9646171978733111,0.396859626075474,,,0.9755893141647869,,,0.9994885184150819,,,gamma_regressor_model,pls_regression_model,tweedie_regressor_model,poisson_regressor_model,elastic_net_model,0.7915384328807649,,,,6.0,,0.5988971738903162,,"(5.0, 95.0)",False,,basic_standardizer,True,True,COMPLETE
