,number,value,datetime_start,datetime_complete,duration,params_fpSize,params_learning_rate_hist_gradient_boosting_classifier,params_maxPath,params_minPath,params_percentile,params_standardization_type,params_standardizer,state
61,61,0.6148535921442898,2024-05-01 22:45:13.458506,2024-05-01 22:47:18.193981,0 days 00:02:04.735475,2048,0.914705727263155,8,2,38,,chembl_standardizer,COMPLETE
62,62,0.573378576849507,2024-05-01 22:47:18.211824,2024-05-01 22:49:04.251348,0 days 00:01:46.039524,2048,0.9593309847425623,8,2,36,simple_standardisation,custom_standardizer,COMPLETE
63,63,0.5918070456675109,2024-05-01 22:49:04.264590,2024-05-01 23:10:04.162891,0 days 00:20:59.898301,2048,0.9184595532159749,7,2,43,,chembl_standardizer,COMPLETE
64,64,0.5965160033764685,2024-05-01 23:10:04.177609,2024-05-01 23:30:49.524065,0 days 00:20:45.346456,2048,0.8595648132814196,10,2,33,,chembl_standardizer,COMPLETE
65,65,0.566332475663871,2024-05-01 23:30:49.543014,2024-05-01 23:39:03.037513,0 days 00:08:13.494499,2048,0.968068808176401,5,2,40,simple_standardisation,custom_standardizer,COMPLETE
66,66,0.6034685798697427,2024-05-01 23:39:03.055085,2024-05-01 23:41:43.110794,0 days 00:02:40.055709,2048,0.7970558946904159,7,2,56,,basic_standardizer,COMPLETE
67,67,0.6001651042755693,2024-05-01 23:41:43.123852,2024-05-01 23:43:08.048437,0 days 00:01:24.924585,1024,0.9329925351399371,8,2,25,,chembl_standardizer,COMPLETE
68,68,0.5938893993603297,2024-05-01 23:43:08.064398,2024-05-01 23:44:57.634166,0 days 00:01:49.569768,1024,0.8873381571689952,6,2,50,simple_standardisation,custom_standardizer,COMPLETE
69,69,0.5899161865266517,2024-05-01 23:44:57.653104,2024-05-02 00:10:41.211474,0 days 00:25:43.558370,2048,0.5642541046706941,8,2,46,,chembl_standardizer,COMPLETE
70,70,0.5781210843420146,2024-05-02 00:10:41.230108,2024-05-02 00:13:13.984337,0 days 00:02:32.754229,1024,0.48009951244976895,9,1,61,,pass_through_standardizer,COMPLETE
71,71,0.6269161865266517,2024-05-02 00:13:13.997974,2024-05-02 00:15:27.175827,0 days 00:02:13.177853,2048,0.86266117062393,9,2,50,simple_standardisation,custom_standardizer,COMPLETE
72,72,0.618031081321779,2024-05-02 00:15:27.193951,2024-05-02 00:37:54.380681,0 days 00:22:27.186730,2048,0.8464683511994813,9,2,67,simple_standardisation,custom_standardizer,COMPLETE
73,73,0.5905449744054395,2024-05-02 00:37:54.398550,2024-05-02 00:59:56.413159,0 days 00:22:02.014609,2048,0.7738146577685506,9,2,41,simple_standardisation,custom_standardizer,COMPLETE
74,74,0.6225106018012994,2024-05-02 00:59:56.429345,2024-05-02 01:09:58.481513,0 days 00:10:02.052168,2048,0.9364864737363132,9,2,36,simple_standardisation,custom_standardizer,COMPLETE
75,75,0.5847685202394505,2024-05-02 01:09:58.499672,2024-05-02 01:11:58.630999,0 days 00:02:00.131327,2048,0.8113376761012159,8,2,51,simple_standardisation,custom_standardizer,COMPLETE
76,76,-inf,2024-05-02 01:11:58.648484,2024-05-02 01:12:08.163661,0 days 00:00:09.515177,2048,0.8892225449830059,10,2,86,heavy_standardisation,custom_standardizer,COMPLETE
77,77,0.57357444493491,2024-05-02 01:12:08.177958,2024-05-02 01:13:54.558871,0 days 00:01:46.380913,1024,0.9704789300358239,9,2,58,,chembl_standardizer,COMPLETE
78,78,0.6090841019445671,2024-05-02 01:13:54.576715,2024-05-02 01:16:23.019334,0 days 00:02:28.442619,2048,0.7274125525058218,5,2,47,simple_standardisation,custom_standardizer,COMPLETE
79,79,0.5776869254776231,2024-05-02 01:16:23.036742,2024-05-02 01:17:46.826400,0 days 00:01:23.789658,1024,0.8424878975241035,8,2,30,,basic_standardizer,COMPLETE
80,80,0.610010508870974,2024-05-02 01:17:46.845699,2024-05-02 01:37:52.332503,0 days 00:20:05.486804,2048,0.9990208397569,7,2,44,,chembl_standardizer,COMPLETE
81,81,0.6185170120577097,2024-05-02 01:37:52.351299,2024-05-02 01:58:25.952803,0 days 00:20:33.601504,2048,0.873200376704045,9,2,34,simple_standardisation,custom_standardizer,COMPLETE
